Messier;NGC;ObjectType;Season;Magnitude;Constellation;RA;December;DistanceLY;ApparentSizeArcSec;Discoverer;DiscoveryYear;ConstellationAbbr;Description
M78;NGC 2068;Reflection Nebula;Winter;8;Orion;05:46:45.82;+00:04:45.5;1630;8,0 x 6,0;Méchain;1780;Ori;
M82;NGC 3034;Galaxy;Spring;8;Ursa Major;09:55:52.73;+69:40:45.8;8500000;11,0 x 4,6;Bode;1774;UMa;
M88;NGC 4501;Galaxy;Spring;9;Coma Berenices;12:31:59.16;+14:25:13.4;41000000;6,9 x 3,9;Messier;1781;Com;
M69;NGC 6637;Globular Cluster;Summer;7;Sagittarius;18:31:23.23;-32:20:52.7;23500;3,8;Lacaille;1751;Sgr;
M57;NGC 6720;Planetary Nebula;Summer;9;Lyra;18:53:35.01;+33:01:42.9;1410;71;Darquier;1779;Lyr;
M66;NGC 3627;Galaxy;Spring;9;Leo;11:20:14.96;+12:59:29.5;29000000;8,7 x 4,4;Méchain;1780;Leo;
M44;NGC 2632;Open Cluster;Spring;3;Cancer;08:40:22.20;+19:40:19.4;520;70,0;;;Cnc;
M100;NGC 4321;Galaxy;Spring;9;Coma Berenices;12:22:54.83;+15:49:18.5;41000000;6,9 x 6,2;Méchain;1781;Com;
M72;NGC 6981;Globular Cluster;Autumn;9;Aquarius;20:53:27.91;-12:32:13.4;62000;5,1;Méchain;1780;Aqr;
M3;NGC 5272;Globular Cluster;Spring;6;Canes Venatici;13:42:11.23;+28:22:31.6;48500;18,6;Messier;1764;CVn;
M7;NGC 6475;Open Cluster;Summer;3;Scorpius;17:53:51.18;-34:47:34.2;780;30,0;Ptolémée;;Sco;
M5;NGC 5904;Globular Cluster;Spring;5;;15:18:33.75;+02:04:57.7;24800;19,9;Kirch;1702;Se1;
M39;NGC 7092;Open Cluster;Autumn;4;Cygnus;21:31:48.32;+48:26:17.4;880;32,0;Le Gentil;1750;Cyg;
M29;NGC 6913;Open Cluster;Summer;6;Cygnus;20:23:57.77;+38:30:27.6;4100;7,0;Messier;1764;Cyg;
M107;NGC 6171;Globular Cluster;Summer;8;Ophiuchus;16:32:31.92;-13:03:13.1;19200;7,8;Méchain;1782;Oph;
